SchemaVersion,1
Time(ms),WallTime,Electrode,Event
84142,2026-03-13T11:14:41,E-,SESSION_START
85123,,E0,START
85216,,E0,STOP
85355,,E0,START
85444,,E0,STOP
90792,,E0,START
90907,,E0,STOP
91124,,E0,START
91205,,E0,STOP
92126,,E0,START
92184,,E0,STOP
92436,,E0,START
92494,,E0,STOP
92989,,E0,START
93035,,E0,STOP
93689,,E0,START
97180,,E0,STOP
97559,,E0,START
97671,,E0,STOP
98036,,E0,START
98472,,E0,STOP
99184,,E0,START
99235,,E0,STOP
99370,,E0,START
99436,,E0,STOP
99536,,E0,START
99591,,E0,STOP
101131,,E0,START
101196,,E0,STOP
101413,,E0,START
101471,,E0,STOP
106035,,E0,START
106169,,E0,STOP
106378,,E0,START
106455,,E0,STOP
106595,,E0,START
106684,,E0,STOP
106862,,E0,START
106908,,E0,STOP
107082,,E0,START
107168,,E0,STOP
108669,,E0,START
108793,,E0,STOP
109579,,E0,START
109667,,E0,STOP
109946,,E0,START
109996,,E0,STOP
110252,,E0,START
110329,,E0,STOP
115891,,E0,START
116065,,E0,STOP
116355,,E0,START
116773,,E0,STOP
117121,,E0,START
117779,,E0,STOP
117977,,E0,START
118093,,E0,STOP
118201,,E0,START
118325,,E0,STOP
118391,,E0,START
118503,,E0,STOP
118573,,E0,START
118650,,E0,STOP
132939,,E0,START
133036,,E0,STOP
133202,,E0,START
133334,,E0,STOP
133450,,E0,START
133558,,E0,STOP
133666,,E0,START
133740,,E0,STOP
133829,,E0,START
133907,,E0,STOP
133988,,E0,START
134054,,E0,STOP
134150,,E0,START
134217,,E0,STOP
134549,,E0,START
134619,,E0,STOP
134715,,E0,START
134777,,E0,STOP
149093,,E0,START
150065,,E0,STOP
150339,,E0,START
150436,,E0,STOP
151524,,E0,START
151608,,E0,STOP
152379,,E0,START
152433,,E0,STOP
153400,,E0,START
153462,,E0,STOP
154499,,E0,START
154553,,E0,STOP
154893,,E0,START
154959,,E0,STOP
155075,,E0,START
155168,,E0,STOP
155234,,E0,START
155323,,E0,STOP
155392,,E0,START
155474,,E0,STOP
155551,,E0,START
155644,,E0,STOP
155714,,E0,START
155776,,E0,STOP
155857,,E0,START
155907,,E0,STOP
156000,,E0,START
156050,,E0,STOP
162373,,E0,START
169963,,E0,STOP
169972,,E0,START
172889,,E0,STOP
173589,,E0,START
173694,,E0,STOP
173844,,E0,START
173941,,E0,STOP
174069,,E0,START
174162,,E0,STOP
174263,,E0,START
174332,,E0,STOP
174437,,E0,START
174502,,E0,STOP
174592,,E0,START
174661,,E0,STOP
175737,,E0,START
175814,,E0,STOP
175931,,E0,START
176000,,E0,STOP
176124,,E0,START
176167,,E0,STOP
176326,,E0,START
176368,,E0,STOP
176496,,E0,START
176577,,E0,STOP
176689,,E0,START
176774,,E0,STOP
177796,,E0,START
177854,,E0,STOP
177909,,E0,START
178052,,E0,STOP
178063,,E0,START
178071,,E0,STOP
178080,,E0,START
178144,,E0,STOP
189715,2026-03-13T11:16:27,E-,SESSION_STOP
